__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/layout/data_offset,AvgBoidDistance
1714649304.282564,1.118033991,0.707106795,0.500000043,0.500000005,1.000000010,0.500000005,0.000000000,0.775046943
1714649304.381727,1.118033992,0.707106791,0.500000040,0.500000002,1.000000007,0.500000006,0.000000000,0.775046941
1714649304.481624,1.118033992,0.707106804,0.500000073,0.500000008,1.000000016,0.500000008,0.000000000,0.775046957
1714649304.581564,1.118033993,0.707106797,0.500000063,0.500000003,1.000000012,0.500000010,0.000000000,0.775046951
1714649304.681526,1.118034001,0.707106815,0.500000150,0.500000003,1.000000025,0.500000028,0.000000000,0.775046989
1714649304.781565,1.118033995,0.707106823,0.500000133,0.500000015,1.000000030,0.500000015,0.000000000,0.775046984
1714649304.881608,1.118033996,0.707106830,0.500000108,0.500000017,1.000000020,0.500000004,0.000000000,0.775046978
1714649304.982179,1.118033998,0.707106838,0.500000182,0.500000020,1.000000041,0.500000020,0.000000000,0.775047006
1714649305.081692,1.118033999,0.707106847,0.500000210,0.500000023,1.000000047,0.500000024,0.000000000,0.775047018
1714649305.181515,1.118033992,0.707106823,0.500000165,0.500000026,1.000000053,0.500000027,0.000000000,0.775046993
1714649305.281647,1.118034002,0.707106866,0.500000271,0.500000030,1.000000060,0.500000030,0.000000000,0.775047046
1714649305.382017,1.118034004,0.707106876,0.500000303,0.500000034,1.000000068,0.500000034,0.000000000,0.775047061
1714649305.481740,1.118034026,0.707106886,0.500000336,0.500000009,1.000000042,0.500000038,0.000000000,0.775047083
1714649305.581531,1.118034007,0.707106898,0.500000372,0.500000041,1.000000083,0.500000042,0.000000000,0.775047092
1714649305.681754,1.118034034,0.707106982,0.500000558,0.500000046,1.000000092,0.500000046,0.000000000,0.775047191
1714649305.781711,1.118034011,0.707106922,0.500000451,0.500000050,1.000000100,0.500000050,0.000000000,0.775047128
1714649305.883429,1.118034043,0.707107021,0.500000668,0.500000055,1.000000110,0.500000055,0.000000000,0.775047244
1714649305.981537,1.118034015,0.707106875,0.500000369,0.500000015,1.000000067,0.500000059,0.000000000,0.775047086
1714649306.081521,1.118034017,0.707106960,0.500000572,0.500000064,1.000000127,0.500000064,0.000000000,0.775047183
1714649306.181540,1.118034057,0.707107082,0.500000835,0.500000068,1.000000137,0.500000069,0.000000000,0.775047324
1714649306.281725,1.118034062,0.707107104,0.500000897,0.500000073,1.000000147,0.500000074,0.000000000,0.775047354
1714649306.382163,1.118034024,0.707107002,0.500000705,0.500000078,1.000000157,0.500000079,0.000000000,0.775047244
1714649306.483579,1.118034026,0.707106914,0.500000751,0.500000021,1.000000167,0.500000188,0.000000000,0.775047230
1714649306.581490,1.118034028,0.707107030,0.500000794,0.500000088,1.000000177,0.500000089,0.000000000,0.775047284
1714649306.681516,1.118034030,0.707107045,0.500000841,0.500000093,1.000000187,0.500000094,0.000000000,0.775047306
1714649306.781541,1.118034033,0.707107060,0.500000890,0.500000099,1.000000198,0.500000099,0.000000000,0.775047328
1714649306.881604,1.118034000,0.707106947,0.500000652,0.500000104,1.000000209,0.500000105,0.000000000,0.775047200
1714649306.984039,1.118034038,0.707107091,0.500000986,0.500000110,1.000000220,0.500000110,0.000000000,0.775047372
1714649307.081967,1.118034040,0.707107105,0.500001031,0.500000115,1.000000230,0.500000115,0.000000000,0.775047392
1714649307.182757,1.118034042,0.707107120,0.500001078,0.500000120,1.000000240,0.500000120,0.000000000,0.775047413
1714649307.281579,1.118034044,0.707107134,0.500001125,0.500000125,1.000000250,0.500000125,0.000000000,0.775047435
1714649307.381596,1.118034003,0.707106988,0.500000815,0.500000130,1.000000261,0.500000131,0.000000000,0.775047269
1714649307.481530,1.118034004,0.707106997,0.500001223,0.500000136,1.000000425,0.500000307,0.000000000,0.775047408
1714649307.581689,1.118034052,0.707107180,0.500001271,0.500000141,1.000000283,0.500000142,0.000000000,0.775047501
1714649307.681593,1.118034054,0.707107195,0.500001320,0.500000147,1.000000294,0.500000147,0.000000000,0.775047523
