__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/layout/data_offset,AvgBoidDistance
1714650994.120054,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.221420,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.319303,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.419859,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.519190,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.620245,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.719204,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.819204,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650994.919174,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.020981,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.119218,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.219336,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.319646,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.419294,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.519322,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.619500,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.719350,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.819224,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650995.920677,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.020626,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.119179,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.219193,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.319348,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.419351,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.521240,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.619849,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.720692,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.820137,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650996.919676,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.020103,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.119569,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.219324,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.319408,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.419383,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.519503,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.620714,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.719333,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.819405,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650997.919349,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.019342,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.119355,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.219375,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.319262,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.420398,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.519229,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.619396,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.719198,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.820153,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650998.919573,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.020844,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.120984,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.219725,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.319988,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.419262,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.519306,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.619204,0.500000000,1.000000000,0.500000000,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.719196,0.500000000,1.000000000,0.500000001,0.500000000,0.707106781,1.118033989,0.000000000,0.666666667
1714650999.819272,0.500000000,1.000000000,0.500000002,0.500000000,0.707106782,1.118033989,0.000000000,0.666666668
1714650999.919593,0.500000001,1.000000001,0.500000005,0.500000000,0.707106782,1.118033989,0.000000000,0.666666669
1714651000.020289,0.500000003,1.000000002,0.500000011,0.500000000,0.707106783,1.118033989,0.000000000,0.666666672
1714651000.119257,0.500000002,1.000000002,0.500000012,0.500000000,0.707106784,1.118033990,0.000000000,0.666666672
1714651000.219323,0.500000003,1.000000003,0.500000017,0.500000001,0.707106786,1.118033990,0.000000000,0.666666674
1714651000.320886,0.500000004,1.000000004,0.500000023,0.500000001,0.707106787,1.118033990,0.000000000,0.666666677
1714651000.421196,0.500000005,1.000000010,0.500000031,0.500000005,0.707106789,1.118033989,0.000000000,0.666666682
1714651000.519239,0.500000006,1.000000013,0.500000039,0.500000006,0.707106791,1.118033989,0.000000000,0.666666686
1714651000.620105,0.500000008,1.000000009,0.500000049,0.500000002,0.707106794,1.118033992,0.000000000,0.666666689
1714651000.720565,0.500000010,1.000000011,0.500000060,0.500000002,0.707106797,1.118033993,0.000000000,0.666666694
1714651000.819300,0.500000011,1.000000013,0.500000046,0.500000003,0.707106789,1.118033990,0.000000000,0.666666690
1714651000.919288,0.500000014,1.000000015,0.500000086,0.500000003,0.707106803,1.118033995,0.000000000,0.666666705
1714651001.020892,0.500000016,1.000000018,0.500000101,0.500000004,0.707106807,1.118033996,0.000000000,0.666666712
1714651001.119364,0.500000018,1.000000021,0.500000074,0.500000005,0.707106794,1.118033991,0.000000000,0.666666704
1714651001.219453,0.500000021,1.000000024,0.500000132,0.500000005,0.707106815,1.118033998,0.000000000,0.666666725
1714651001.320816,0.500000024,1.000000027,0.500000149,0.500000006,0.707106819,1.118033999,0.000000000,0.666666733
1714651001.419467,0.500000027,1.000000030,0.500000167,0.500000007,0.707106824,1.118034001,0.000000000,0.666666741
1714651001.519478,0.500000030,1.000000033,0.500000186,0.500000007,0.707106829,1.118034002,0.000000000,0.666666750
1714651001.619932,0.500000033,1.000000037,0.500000206,0.500000008,0.707106834,1.118034004,0.000000000,0.666666758
1714651001.719321,0.500000036,1.000000040,0.500000225,0.500000009,0.707106839,1.118034005,0.000000000,0.666666767
1714651001.821192,0.500000039,1.000000044,0.500000246,0.500000010,0.707106844,1.118034006,0.000000000,0.666666776
1714651001.919218,0.500000042,1.000000048,0.500000170,0.500000011,0.707106811,1.118033994,0.000000000,0.666666754
1714651002.020354,0.500000011,1.000000052,0.500000289,0.500000046,0.707106912,1.118034010,0.000000000,0.666666784
1714651002.119179,0.500000050,1.000000056,0.500000311,0.500000012,0.707106861,1.118034011,0.000000000,0.666666806
1714651002.219360,0.500000053,1.000000060,0.500000335,0.500000013,0.707106867,1.118034013,0.000000000,0.666666816
1714651002.319984,0.500000057,1.000000064,0.500000358,0.500000014,0.707106873,1.118034015,0.000000000,0.666666827
