__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/layout/data_offset,AvgBoidDistance
1714642561.293136,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.393414,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.493253,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.593186,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.694374,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.793244,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.893195,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642561.993216,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642562.093205,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642562.193237,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642562.293191,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642562.393402,0.500000000,0.707106781,0.500000000,0.000000000,0.569035594
1714642562.493306,0.500000000,0.707106782,0.500000000,0.000000000,0.569035594
1714642562.593372,0.500000000,0.707106782,0.500000000,0.000000000,0.569035594
1714642562.694587,0.500000002,0.707106784,0.500000000,0.000000000,0.569035595
1714642562.793513,0.500000002,0.707106786,0.500000002,0.000000000,0.569035597
1714642562.893492,0.500000007,0.707106790,0.500000001,0.000000000,0.569035599
1714642562.993156,0.500000010,0.707106794,0.500000001,0.000000000,0.569035602
1714642563.093219,0.500000006,0.707106799,0.500000006,0.000000000,0.569035604
1714642563.193274,0.500000020,0.707106806,0.500000002,0.000000000,0.569035609
1714642563.293203,0.500000011,0.707106813,0.500000011,0.000000000,0.569035612
1714642563.393687,0.500000014,0.707106803,0.500000003,0.000000000,0.569035607
1714642563.494593,0.500000037,0.707106828,0.500000004,0.000000000,0.569035623
1714642563.594134,0.500000019,0.707106812,0.500000005,0.000000000,0.569035612
1714642563.694388,0.500000051,0.707106881,0.500000023,0.000000000,0.569035652
1714642563.793187,0.500000026,0.707106856,0.500000026,0.000000000,0.569035636
1714642563.893314,0.500000030,0.707106866,0.500000030,0.000000000,0.569035642
1714642563.993302,0.500000034,0.707106877,0.500000034,0.000000000,0.569035648
1714642564.093303,0.500000086,0.707106889,0.500000010,0.000000000,0.569035661
1714642564.193637,0.500000042,0.707106902,0.500000043,0.000000000,0.569035662
1714642564.293737,0.500000106,0.707106915,0.500000012,0.000000000,0.569035678
1714642564.393222,0.500000116,0.707106927,0.500000013,0.000000000,0.569035685
1714642564.493192,0.500000056,0.707106941,0.500000057,0.000000000,0.569035685
1714642564.594288,0.500000138,0.707106955,0.500000015,0.000000000,0.569035703
1714642564.693222,0.500000066,0.707106970,0.500000067,0.000000000,0.569035701
1714642564.793153,0.500000162,0.707107101,0.500000073,0.000000000,0.569035779
1714642564.893337,0.500000078,0.707107001,0.500000078,0.000000000,0.569035719
1714642564.993402,0.500000187,0.707107016,0.500000021,0.000000000,0.569035741
1714642565.093205,0.500000089,0.707107033,0.500000089,0.000000000,0.569035737
1714642565.193583,0.500000095,0.707107049,0.500000095,0.000000000,0.569035746
1714642565.293286,0.500000100,0.707107066,0.500000101,0.000000000,0.569035756
1714642565.393383,0.500000240,0.707107254,0.500000107,0.000000000,0.569035867
1714642565.493293,0.500000254,0.707107281,0.500000113,0.000000000,0.569035883
1714642565.593986,0.500000269,0.707107310,0.500000120,0.000000000,0.569035900
1714642565.693218,0.500000283,0.707107339,0.500000126,0.000000000,0.569035916
1714642565.793211,0.500000132,0.707107156,0.500000133,0.000000000,0.569035807
1714642565.893194,0.500000138,0.707107173,0.500000139,0.000000000,0.569035817
1714642565.993462,0.500000325,0.707107190,0.500000036,0.000000000,0.569035851
1714642566.093385,0.500000338,0.707107206,0.500000038,0.000000000,0.569035860
1714642566.193780,0.500000351,0.707107471,0.500000156,0.000000000,0.569035993
1714642566.293162,0.500000366,0.707107241,0.500000041,0.000000000,0.569035883
1714642566.393252,0.500000380,0.707107260,0.500000042,0.000000000,0.569035894
1714642566.493247,0.500000394,0.707107276,0.500000044,0.000000000,0.569035905
1714642566.593293,0.500000407,0.707107293,0.500000045,0.000000000,0.569035915
1714642566.693182,0.500000420,0.707107310,0.500000047,0.000000000,0.569035926
1714642566.793466,0.500000434,0.707107635,0.500000193,0.000000000,0.569036087
1714642566.893315,0.500000447,0.707107343,0.500000050,0.000000000,0.569035946
1714642566.993165,0.500000459,0.707107684,0.500000205,0.000000000,0.569036116
1714642567.093228,0.500000210,0.707107376,0.500000210,0.000000000,0.569035932
1714642567.193285,0.500000216,0.707107392,0.500000216,0.000000000,0.569035941
1714642567.293442,0.500000497,0.707107407,0.500000055,0.000000000,0.569035986
