__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/layout/data_offset,AvgBoidDistance
1714642830.452834,0.707106793,0.500000046,0.500000007,0.000000000,0.569035615
1714642830.551919,0.707106788,0.500000038,0.500000010,0.000000000,0.569035612
1714642830.652017,0.707106790,0.500000027,0.500000003,0.000000000,0.569035607
1714642830.752022,0.707106804,0.500000091,0.500000015,0.000000000,0.569035637
1714642830.852038,0.707106794,0.500000072,0.500000018,0.000000000,0.569035628
1714642830.951904,0.707106796,0.500000086,0.500000022,0.000000000,0.569035634
1714642831.052104,0.707106786,0.500000025,0.500000006,0.000000000,0.569035606
1714642831.151924,0.707106825,0.500000174,0.500000028,0.000000000,0.569035676
1714642831.253394,0.707106832,0.500000201,0.500000032,0.000000000,0.569035689
1714642831.351871,0.707106807,0.500000146,0.500000037,0.000000000,0.569035663
1714642831.451977,0.707106846,0.500000257,0.500000041,0.000000000,0.569035715
1714642831.553392,0.707106854,0.500000287,0.500000046,0.000000000,0.569035729
1714642831.651809,0.707106862,0.500000318,0.500000051,0.000000000,0.569035744
1714642831.752574,0.707106870,0.500000350,0.500000056,0.000000000,0.569035759
1714642831.852626,0.707106824,0.500000245,0.500000061,0.000000000,0.569035710
1714642831.952186,0.707106887,0.500000267,0.500000017,0.000000000,0.569035724
1714642832.051995,0.707106896,0.500000452,0.500000073,0.000000000,0.569035807
1714642832.151974,0.707106905,0.500000488,0.500000078,0.000000000,0.569035824
1714642832.252245,0.707106915,0.500000528,0.500000085,0.000000000,0.569035843
1714642832.351910,0.707106925,0.500000566,0.500000091,0.000000000,0.569035861
1714642832.451894,0.707106935,0.500000606,0.500000097,0.000000000,0.569035879
1714642832.552532,0.707106945,0.500000645,0.500000103,0.000000000,0.569035898
1714642832.652269,0.707106858,0.500000437,0.500000109,0.000000000,0.569035802
1714642832.752060,0.707106863,0.500000461,0.500000116,0.000000000,0.569035813
1714642832.851831,0.707106974,0.500000758,0.500000122,0.000000000,0.569035951
1714642832.953034,0.707106984,0.500000797,0.500000128,0.000000000,0.569035969
1714642833.051890,0.707106876,0.500000535,0.500000134,0.000000000,0.569035848
1714642833.152314,0.707107004,0.500000876,0.500000140,0.000000000,0.569036007
1714642833.251894,0.707106885,0.500000587,0.500000147,0.000000000,0.569035873
1714642833.352112,0.707107025,0.500000958,0.500000154,0.000000000,0.569036046
1714642833.451975,0.707107035,0.500000998,0.500000160,0.000000000,0.569036064
1714642833.553278,0.707107045,0.500001038,0.500000166,0.000000000,0.569036083
1714642833.652588,0.707106903,0.500000690,0.500000173,0.000000000,0.569035922
1714642833.753106,0.707106907,0.500000714,0.500000179,0.000000000,0.569035933
1714642833.851860,0.707107075,0.500001154,0.500000185,0.000000000,0.569036138
1714642833.951935,0.707106916,0.500000762,0.500000191,0.000000000,0.569035956
1714642834.051843,0.707107094,0.500001228,0.500000197,0.000000000,0.569036173
1714642834.152262,0.707107103,0.500000809,0.500000051,0.000000000,0.569035987
1714642834.252252,0.707107112,0.500001301,0.500000208,0.000000000,0.569036207
1714642834.351977,0.707106932,0.500000855,0.500000214,0.000000000,0.569036000
1714642834.452256,0.707106936,0.500000877,0.500000219,0.000000000,0.569036011
1714642834.552540,0.707107138,0.500001404,0.500000225,0.000000000,0.569036256
1714642834.651922,0.707107146,0.500001435,0.500000230,0.000000000,0.569036270
1714642834.751891,0.707107155,0.500001468,0.500000235,0.000000000,0.569036286
1714642834.851978,0.707107162,0.500000958,0.500000060,0.000000000,0.569036060
1714642834.951876,0.707107170,0.500001526,0.500000244,0.000000000,0.569036313
1714642835.051898,0.707107177,0.500001556,0.500000249,0.000000000,0.569036328
1714642835.151940,0.707106960,0.500001015,0.500000254,0.000000000,0.569036076
1714642835.252309,0.707107192,0.500001614,0.500000259,0.000000000,0.569036355
1714642835.352367,0.707107199,0.500001641,0.500000263,0.000000000,0.569036367
1714642835.451989,0.707106970,0.500001066,0.500000267,0.000000000,0.569036101
1714642835.552545,0.707107211,0.500001689,0.500000270,0.000000000,0.569036390
1714642835.651831,0.707107217,0.500001711,0.500000274,0.000000000,0.569036401
1714642835.751909,0.707106977,0.500001109,0.500000277,0.000000000,0.569036121
1714642835.851854,0.707106979,0.500001121,0.500000280,0.000000000,0.569036127
1714642835.952041,0.707107231,0.500001769,0.500000283,0.000000000,0.569036428
1714642836.051939,0.707106983,0.500001143,0.500000286,0.000000000,0.569036137
1714642836.151940,0.707107240,0.500001802,0.500000288,0.000000000,0.569036443
1714642836.251974,0.707106987,0.500001162,0.500000291,0.000000000,0.569036147
1714642836.351947,0.707107247,0.500001830,0.500000293,0.000000000,0.569036456
1714642836.451889,0.707107250,0.500001842,0.500000295,0.000000000,0.569036462
1714642836.552257,0.707107253,0.500001852,0.500000296,0.000000000,0.569036467
1714642836.651900,0.707107255,0.500001861,0.500000298,0.000000000,0.569036471
1714642836.753154,0.707107257,0.500001868,0.500000299,0.000000000,0.569036474
1714642836.851924,0.707107258,0.500001873,0.500000300,0.000000000,0.569036477
1714642836.951873,0.707107259,0.500001876,0.500000300,0.000000000,0.569036478
1714642837.053372,0.707106994,0.500001202,0.500000300,0.000000000,0.569036165
1714642837.152201,0.707106994,0.500001878,0.500000676,0.000000000,0.569036516
1714642837.253417,0.707106993,0.500001201,0.500000300,0.000000000,0.569036165
1714642837.352161,0.707107258,0.500001874,0.500000300,0.000000000,0.569036477
1714642837.451887,0.707106993,0.500001197,0.500000299,0.000000000,0.569036163
1714642837.551997,0.707106992,0.500001193,0.500000298,0.000000000,0.569036161
1714642837.653075,0.707107254,0.500001857,0.500000297,0.000000000,0.569036469
1714642837.752004,0.707107252,0.500001848,0.500000296,0.000000000,0.569036465
1714642837.852058,0.707106989,0.500001177,0.500000294,0.000000000,0.569036153
1714642837.951854,0.707107246,0.500001827,0.500000292,0.000000000,0.569036455
1714642838.051955,0.707107243,0.500001815,0.500000290,0.000000000,0.569036449
1714642838.152327,0.707107240,0.500001800,0.500000288,0.000000000,0.569036443
1714642838.251895,0.707106983,0.500001142,0.500000285,0.000000000,0.569036137
1714642838.353397,0.707106981,0.500001132,0.500000283,0.000000000,0.569036132
1714642838.451911,0.707107227,0.500002518,0.500000629,0.000000000,0.569036791
1714642838.552214,0.707107221,0.500001727,0.500000276,0.000000000,0.569036408
1714642838.651857,0.707106974,0.500001704,0.500000613,0.000000000,0.569036431
1714642838.752021,0.707106971,0.500001681,0.500000605,0.000000000,0.569036419
1714642838.851854,0.707106969,0.500001061,0.500000265,0.000000000,0.569036098
1714642838.953015,0.707107198,0.500001047,0.500000065,0.000000000,0.569036103
1714642839.051996,0.707106963,0.500001031,0.500000258,0.000000000,0.569036084
1714642839.152062,0.707107185,0.500001585,0.500000253,0.000000000,0.569036341
1714642839.252839,0.707107178,0.500001557,0.500000249,0.000000000,0.569036328
1714642839.352955,0.707107170,0.500001527,0.500000244,0.000000000,0.569036314
1714642839.451867,0.707107162,0.500001497,0.500000239,0.000000000,0.569036299
1714642839.552104,0.707107154,0.500001465,0.500000234,0.000000000,0.569036284
1714642839.651934,0.707106944,0.500000918,0.500000229,0.000000000,0.569036030
1714642839.752511,0.707107139,0.500001403,0.500000224,0.000000000,0.569036255
1714642839.851878,0.707107131,0.500001372,0.500000219,0.000000000,0.569036241
1714642839.952201,0.707106933,0.500000858,0.500000214,0.000000000,0.569036002
1714642840.051929,0.707106929,0.500000837,0.500000209,0.000000000,0.569035992
1714642840.152416,0.707107106,0.500001276,0.500000204,0.000000000,0.569036195
1714642840.251905,0.707106922,0.500001242,0.500000447,0.000000000,0.569036204
1714642840.352427,0.707107090,0.500001210,0.500000193,0.000000000,0.569036164
1714642840.452476,0.707107081,0.500001178,0.500000188,0.000000000,0.569036149
1714642840.551890,0.707107072,0.500001141,0.500000182,0.000000000,0.569036132
1714642840.651916,0.707106906,0.500000707,0.500000177,0.000000000,0.569035930
1714642840.752301,0.707107053,0.500001068,0.500000171,0.000000000,0.569036098
1714642840.851880,0.707107044,0.500001032,0.500000165,0.000000000,0.569036080
1714642840.951880,0.707107035,0.500000995,0.500000159,0.000000000,0.569036063
1714642841.051849,0.707106891,0.500000618,0.500000154,0.000000000,0.569035888
1714642841.151873,0.707106887,0.500000597,0.500000149,0.000000000,0.569035878
1714642841.251908,0.707107010,0.500000900,0.500000144,0.000000000,0.569036018
1714642841.352329,0.707107002,0.500000867,0.500000138,0.000000000,0.569036002
1714642841.451942,0.707106876,0.500000534,0.500000133,0.000000000,0.569035848
1714642841.552603,0.707106986,0.500000802,0.500000128,0.000000000,0.569035972
1714642841.651883,0.707106869,0.500000493,0.500000123,0.000000000,0.569035828
1714642841.751911,0.707106970,0.500000740,0.500000118,0.000000000,0.569035943
1714642841.852494,0.707106961,0.500000452,0.500000028,0.000000000,0.569035814
1714642841.951871,0.707106953,0.500000675,0.500000108,0.000000000,0.569035912
1714642842.051902,0.707106854,0.500000412,0.500000103,0.000000000,0.569035790
1714642842.153126,0.707106851,0.500000393,0.500000098,0.000000000,0.569035781
1714642842.251926,0.707106931,0.500000586,0.500000094,0.000000000,0.569035870
1714642842.351893,0.707106844,0.500000555,0.500000200,0.000000000,0.569035866
1714642842.452353,0.707106915,0.500000526,0.500000084,0.000000000,0.569035842
1714642842.551864,0.707106838,0.500000320,0.500000080,0.000000000,0.569035746
1714642842.651922,0.707106902,0.500000474,0.500000076,0.000000000,0.569035817
1714642842.751859,0.707106896,0.500000449,0.500000072,0.000000000,0.569035805
1714642842.853081,0.707106829,0.500000272,0.500000068,0.000000000,0.569035723
1714642842.952405,0.707106884,0.500000257,0.500000016,0.000000000,0.569035719
1714642843.052010,0.707106879,0.500000245,0.500000015,0.000000000,0.569035713
1714642843.152024,0.707106874,0.500000362,0.500000058,0.000000000,0.569035764
1714642843.252413,0.707106820,0.500000219,0.500000055,0.000000000,0.569035698
1714642843.352042,0.707106818,0.500000206,0.500000051,0.000000000,0.569035692
1714642843.451936,0.707106859,0.500000304,0.500000048,0.000000000,0.569035737
1714642843.552472,0.707106813,0.500000182,0.500000045,0.000000000,0.569035680
1714642843.652447,0.707106811,0.500000170,0.500000042,0.000000000,0.569035675
1714642843.751977,0.707106809,0.500000159,0.500000040,0.000000000,0.569035670
1714642843.851853,0.707106841,0.500000150,0.500000009,0.000000000,0.569035667
1714642843.952261,0.707106806,0.500000140,0.500000035,0.000000000,0.569035660
1714642844.052081,0.707106804,0.500000131,0.500000033,0.000000000,0.569035656
1714642844.151904,0.707106803,0.500000122,0.500000030,0.000000000,0.569035652
1714642844.252049,0.707106826,0.500000176,0.500000028,0.000000000,0.569035677
1714642844.352002,0.707106800,0.500000104,0.500000026,0.000000000,0.569035643
1714642844.452567,0.707106798,0.500000096,0.500000024,0.000000000,0.569035639
1714642844.552202,0.707106816,0.500000138,0.500000022,0.000000000,0.569035659
1714642844.651902,0.707106796,0.500000081,0.500000020,0.000000000,0.569035632
1714642844.752818,0.707106794,0.500000074,0.500000018,0.000000000,0.569035629
1714642844.853294,0.707106793,0.500000068,0.500000017,0.000000000,0.569035626
1714642844.953081,0.707106806,0.500000062,0.500000004,0.000000000,0.569035624
1714642846.097626,0.707106784,0.500000017,0.500000004,0.000000000,0.569035602
1714642846.151926,0.707106788,0.500000026,0.500000004,0.000000000,0.569035606
