__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/layout/data_offset,AvgBoidDistance
1714642332.639853,0.707106979,0.500001117,0.500000279,0.000000000,0.569036125
1714642332.739052,0.707106977,0.500001106,0.500000276,0.000000000,0.569036120
1714642332.839249,0.707107217,0.500001710,0.500000273,0.000000000,0.569036400
1714642332.938984,0.707107212,0.500001690,0.500000270,0.000000000,0.569036391
1714642333.040278,0.707107206,0.500001669,0.500000267,0.000000000,0.569036381
1714642333.139101,0.707107201,0.500001647,0.500000263,0.000000000,0.569036370
1714642333.240301,0.707106965,0.500001040,0.500000260,0.000000000,0.569036088
1714642333.338994,0.707106962,0.500001599,0.500000575,0.000000000,0.569036379
1714642333.439160,0.707106959,0.500001573,0.500000566,0.000000000,0.569036366
1714642333.538985,0.707107175,0.500000991,0.500000062,0.000000000,0.569036076
1714642333.638990,0.707106953,0.500000973,0.500000243,0.000000000,0.569036056
1714642333.738914,0.707106950,0.500000956,0.500000239,0.000000000,0.569036048
1714642333.839373,0.707106947,0.500001463,0.500000526,0.000000000,0.569036312
1714642333.939023,0.707107146,0.500001432,0.500000229,0.000000000,0.569036269
1714642334.039541,0.707107139,0.500001403,0.500000224,0.000000000,0.569036255
1714642334.139513,0.707106937,0.500000880,0.500000220,0.000000000,0.569036012
1714642334.238969,0.707106934,0.500000861,0.500000215,0.000000000,0.569036003
1714642334.339581,0.707107116,0.500001314,0.500000210,0.000000000,0.569036214
1714642334.439079,0.707106926,0.500000821,0.500000205,0.000000000,0.569035984
1714642334.538950,0.707107100,0.500001251,0.500000200,0.000000000,0.569036183
1714642334.639608,0.707107092,0.500001219,0.500000195,0.000000000,0.569036168
1714642334.739183,0.707107084,0.500001187,0.500000190,0.000000000,0.569036153
1714642334.839053,0.707106912,0.500000739,0.500000185,0.000000000,0.569035945
1714642334.938966,0.707107067,0.500001121,0.500000179,0.000000000,0.569036122
1714642335.039495,0.707107059,0.500001088,0.500000174,0.000000000,0.569036107
1714642335.139036,0.707106901,0.500000676,0.500000169,0.000000000,0.569035915
1714642335.239657,0.707107042,0.500001024,0.500000164,0.000000000,0.569036077
1714642335.338933,0.707107034,0.500000992,0.500000158,0.000000000,0.569036061
1714642335.438938,0.707107025,0.500000959,0.500000153,0.000000000,0.569036046
1714642335.538943,0.707107017,0.500001332,0.500000332,0.000000000,0.569036227
1714642335.639175,0.707107009,0.500000571,0.500000036,0.000000000,0.569035872
1714642335.739013,0.707106879,0.500000552,0.500000138,0.000000000,0.569035856
1714642335.840394,0.707106993,0.500000831,0.500000133,0.000000000,0.569035986
1714642335.939354,0.707106985,0.500000801,0.500000128,0.000000000,0.569035971
1714642336.038968,0.707106869,0.500000493,0.500000123,0.000000000,0.569035828
1714642336.138933,0.707106865,0.500000474,0.500000118,0.000000000,0.569035819
1714642336.239812,0.707106962,0.500000711,0.500000114,0.000000000,0.569035929
1714642336.338906,0.707106858,0.500000436,0.500000109,0.000000000,0.569035801
1714642336.439032,0.707106855,0.500000418,0.500000104,0.000000000,0.569035792
1714642336.538951,0.707106940,0.500000625,0.500000100,0.000000000,0.569035888
1714642336.638977,0.707106849,0.500000381,0.500000095,0.000000000,0.569035775
1714642336.739045,0.707106846,0.500000363,0.500000091,0.000000000,0.569035767
1714642336.839038,0.707106919,0.500000541,0.500000086,0.000000000,0.569035849
1714642336.939783,0.707106912,0.500000739,0.500000184,0.000000000,0.569035945
1714642337.039523,0.707106905,0.500000487,0.500000078,0.000000000,0.569035823
1714642337.138945,0.707106899,0.500000460,0.500000073,0.000000000,0.569035811
1714642337.239011,0.707106831,0.500000279,0.500000070,0.000000000,0.569035726
1714642337.339050,0.707106828,0.500000264,0.500000066,0.000000000,0.569035719
1714642337.439424,0.707106825,0.500000250,0.500000062,0.000000000,0.569035713
1714642337.538985,0.707106875,0.500000368,0.500000059,0.000000000,0.569035767
1714642337.639022,0.707106820,0.500000221,0.500000055,0.000000000,0.569035699
1714642337.738950,0.707106818,0.500000208,0.500000052,0.000000000,0.569035693
1714642337.838981,0.707106816,0.500000196,0.500000049,0.000000000,0.569035687
1714642337.939065,0.707106855,0.500000288,0.500000046,0.000000000,0.569035729
1714642338.038964,0.707106812,0.500000173,0.500000043,0.000000000,0.569035676
1714642338.138972,0.707106846,0.500000253,0.500000040,0.000000000,0.569035713
1714642338.239987,0.707106842,0.500000236,0.500000038,0.000000000,0.569035705
1714642338.339417,0.707106837,0.500000220,0.500000035,0.000000000,0.569035698
1714642338.439876,0.707106834,0.500000205,0.500000033,0.000000000,0.569035691
1714642338.538966,0.707106803,0.500000191,0.500000069,0.000000000,0.569035687
1714642338.639627,0.707106826,0.500000177,0.500000028,0.000000000,0.569035677
1714642338.739116,0.707106823,0.500000164,0.500000026,0.000000000,0.569035671
1714642338.839734,0.707106798,0.500000151,0.500000054,0.000000000,0.569035668
1714642338.939037,0.707106817,0.500000139,0.500000022,0.000000000,0.569035659
1714642339.039032,0.707106814,0.500000128,0.500000020,0.000000000,0.569035654
1714642339.139060,0.707106811,0.500000117,0.500000019,0.000000000,0.569035649
1714642339.238989,0.707106793,0.500000069,0.500000017,0.000000000,0.569035626
1714642339.340306,0.707106806,0.500000098,0.500000016,0.000000000,0.569035640
1714642340.696691,0.707107031,0.500000083,0.500000779,0.000000000,0.569035964
1714642340.738932,0.707106783,0.500000012,0.500000003,0.000000000,0.569035600
1714642340.839197,0.707106783,0.500000011,0.500000003,0.000000000,0.569035599
1714642340.938948,0.707106785,0.500000014,0.500000002,0.000000000,0.569035600
1714642341.039996,0.707106784,0.500000012,0.500000002,0.000000000,0.569035600
1714642341.139127,0.707106782,0.500000011,0.500000004,0.000000000,0.569035599
1714642341.239365,0.707106783,0.500000009,0.500000001,0.000000000,0.569035598
1714642341.339118,0.707106782,0.500000005,0.500000001,0.000000000,0.569035596
1714642341.439351,0.707106782,0.500000004,0.500000001,0.000000000,0.569035596
