__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/layout/data_offset,AvgBoidDistance
1714644018.049031,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.148821,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.249244,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.348819,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.448706,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.548733,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.648858,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.748954,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.848962,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644018.948736,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.049817,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.148822,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.249860,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.348893,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.448968,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.548858,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.649009,0.500000000,0.500000000,0.707106781,0.000000000,0.569035594
1714644019.748870,0.500000000,0.500000001,0.707106781,0.000000000,0.569035594
1714644019.848836,0.500000001,0.500000002,0.707106781,0.000000000,0.569035595
1714644019.948926,0.500000002,0.500000005,0.707106782,0.000000000,0.569035596
1714644020.049871,0.500000004,0.500000015,0.707106784,0.000000000,0.569035601
1714644020.149583,0.500000006,0.500000026,0.707106786,0.000000000,0.569035606
1714644020.249853,0.500000010,0.500000041,0.707106789,0.000000000,0.569035613
1714644020.349029,0.500000015,0.500000042,0.707106786,0.000000000,0.569035614
1714644020.448769,0.500000009,0.500000057,0.707106796,0.000000000,0.569035621
1714644020.548921,0.500000012,0.500000047,0.707106790,0.000000000,0.569035616
1714644020.648792,0.500000033,0.500000093,0.707106792,0.000000000,0.569035639
1714644020.749400,0.500000042,0.500000168,0.707106811,0.000000000,0.569035674
1714644020.849336,0.500000051,0.500000206,0.707106818,0.000000000,0.569035692
1714644020.948750,0.500000061,0.500000247,0.707106825,0.000000000,0.569035711
1714644021.048769,0.500000072,0.500000290,0.707106833,0.000000000,0.569035732
1714644021.148750,0.500000084,0.500000338,0.707106841,0.000000000,0.569035754
