__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/data[6],/distances/data[7],/distances/data[8],/distances/data[9],/distances/layout/data_offset,AvgBoidDistance
1714659888.022720,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.121097,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.221410,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.320134,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.422150,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.521792,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.622203,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.721041,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.821304,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659888.920197,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659889.020470,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659889.120117,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659889.220214,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
1714659889.320192,0.500000000,0.707106781,1.118033989,0.500000000,1.118033989,1.414213562,1.000000000,0.500000000,0.500000000,1.000000000,0.000000000,0.775046923
