__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/data[6],/distances/data[7],/distances/data[8],/distances/data[9],/distances/layout/data_offset,AvgBoidDistance
1714660998.555880,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660998.655454,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660998.755396,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660998.856304,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660998.955260,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.056291,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.154621,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.254657,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.354585,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.455598,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.554626,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.654575,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.754579,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.854618,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714660999.956004,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.055360,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.155413,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.254739,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.356879,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.454581,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.555430,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.655551,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.756689,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.856243,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
1714661000.955480,0.500000000,0.707106781,0.500000000,1.118033989,0.500000000,1.000000000,1.000000000,1.118033989,0.500000000,1.414213562,0.000000000,0.569035594
