__time,/distances/data[0],/distances/layout/data_offset
1714684663.513411,0.707106781,0.000000000
1714684663.612750,0.707106781,0.000000000
1714684663.713200,0.707106781,0.000000000
1714684663.812987,0.707106781,0.000000000
1714684663.912803,0.707106781,0.000000000
1714684664.012816,0.707106781,0.000000000
1714684664.112929,0.707106781,0.000000000
1714684664.212738,0.707106781,0.000000000
1714684664.312699,0.707106781,0.000000000
1714684664.412705,0.707106781,0.000000000
1714684664.512667,0.707106781,0.000000000
1714684664.612788,0.707106781,0.000000000
1714684664.712849,0.707106781,0.000000000
1714684664.813518,0.707106781,0.000000000
1714684664.913002,0.707106781,0.000000000
1714684665.013040,0.707106781,0.000000000
1714684665.112909,0.707106781,0.000000000
1714684665.212824,0.707106781,0.000000000
1714684665.312928,0.707106781,0.000000000
1714684665.412899,0.707106781,0.000000000
1714684665.512769,0.707106781,0.000000000
1714684665.612729,0.707106781,0.000000000
1714684665.712699,0.707106781,0.000000000
1714684665.812685,0.707106781,0.000000000
1714684665.912660,0.707106781,0.000000000
1714684666.012748,0.707106782,0.000000000
1714684666.112684,0.707106786,0.000000000
1714684666.212825,0.707106789,0.000000000
1714684666.312725,0.707106795,0.000000000
1714684666.412656,0.707106804,0.000000000
1714684666.512781,0.707106833,0.000000000
1714684666.612709,0.707106826,0.000000000
1714684666.712730,0.707106873,0.000000000
1714684666.812680,0.707106899,0.000000000
1714684666.912652,0.707106926,0.000000000
1714684667.012646,0.707106844,0.000000000
1714684667.113097,0.707106985,0.000000000
1714684667.212811,0.707106932,0.000000000
1714684667.312961,0.707106952,0.000000000
1714684667.412814,0.707106974,0.000000000
1714684667.512634,0.707106996,0.000000000
1714684667.613337,0.707107018,0.000000000
1714684667.712661,0.707107040,0.000000000
1714684667.813100,0.707107064,0.000000000
1714684667.912905,0.707107090,0.000000000
1714684668.012702,0.707107115,0.000000000
1714684668.112860,0.707107139,0.000000000
1714684668.212778,0.707107163,0.000000000
1714684668.312762,0.707107187,0.000000000
1714684668.412663,0.707107456,0.000000000
1714684668.513113,0.707107236,0.000000000
1714684668.613040,0.707107262,0.000000000
1714684668.712773,0.707107288,0.000000000
1714684668.813483,0.707107613,0.000000000
1714684668.912711,0.707107653,0.000000000
1714684669.012747,0.707107691,0.000000000
1714684669.112919,0.707107386,0.000000000
1714684669.212794,0.707107409,0.000000000
1714684669.312862,0.707107431,0.000000000
1714684669.412956,0.707107452,0.000000000
1714684669.512696,0.707107472,0.000000000
1714684669.612797,0.707107180,0.000000000
1714684669.712689,0.707107916,0.000000000
1714684669.813159,0.707107525,0.000000000
1714684669.913269,0.707107541,0.000000000
1714684670.012675,0.707107992,0.000000000
1714684670.112851,0.707108014,0.000000000
1714684670.213031,0.707108034,0.000000000
1714684670.313097,0.707107594,0.000000000
1714684670.412734,0.707108066,0.000000000
1714684670.512737,0.707107612,0.000000000
1714684670.612908,0.707107619,0.000000000
1714684670.712851,0.707107624,0.000000000
1714684670.812674,0.707108104,0.000000000
1714684670.912669,0.707107630,0.000000000
1714684671.013305,0.707108109,0.000000000
1714684671.113365,0.707107630,0.000000000
1714684671.212737,0.707107628,0.000000000
1714684671.313085,0.707107625,0.000000000
1714684671.412677,0.707108092,0.000000000
1714684671.513050,0.707108082,0.000000000
1714684671.612707,0.707108071,0.000000000
1714684671.712684,0.707107597,0.000000000
1714684671.812728,0.707108040,0.000000000
1714684671.912620,0.707108022,0.000000000
1714684672.012942,0.707107562,0.000000000
1714684672.112695,0.707107980,0.000000000
1714684672.212919,0.707107534,0.000000000
1714684672.312697,0.707107518,0.000000000
