__time,/distances/data[0],/distances/layout/data_offset
1714685093.380280,0.707107222,0.000000000
1714685093.480184,0.707107215,0.000000000
1714685093.580117,0.707107208,0.000000000
1714685093.680102,0.707107200,0.000000000
1714685093.780913,0.707107511,0.000000000
1714685093.880316,0.707107182,0.000000000
1714685093.980294,0.707107172,0.000000000
1714685094.080152,0.707107162,0.000000000
1714685094.180716,0.707107152,0.000000000
1714685094.280100,0.707107421,0.000000000
1714685094.380144,0.707107400,0.000000000
1714685094.480229,0.707107378,0.000000000
1714685094.580127,0.707107358,0.000000000
1714685094.680379,0.707107336,0.000000000
1714685094.780118,0.707107081,0.000000000
1714685094.880815,0.707107294,0.000000000
1714685094.980211,0.707107273,0.000000000
1714685095.080099,0.707107044,0.000000000
1714685095.180205,0.707107227,0.000000000
1714685095.280101,0.707107204,0.000000000
1714685095.380293,0.707107007,0.000000000
1714685095.480132,0.707107162,0.000000000
1714685095.580557,0.707107139,0.000000000
1714685095.680116,0.707106971,0.000000000
1714685095.780621,0.707107099,0.000000000
1714685095.880067,0.707107078,0.000000000
1714685095.980697,0.707107058,0.000000000
1714685096.080166,0.707106925,0.000000000
1714685096.180121,0.707106915,0.000000000
1714685096.280390,0.707106905,0.000000000
1714685096.380744,0.707106895,0.000000000
1714685096.480097,0.707106968,0.000000000
1714685096.580199,0.707106953,0.000000000
1714685096.680085,0.707106939,0.000000000
1714685096.780118,0.707106863,0.000000000
1714685096.880171,0.707106856,0.000000000
1714685096.980186,0.707106850,0.000000000
1714685097.080194,0.707106843,0.000000000
1714685097.180136,0.707106881,0.000000000
1714685097.280175,0.707106832,0.000000000
1714685097.380434,0.707106863,0.000000000
1714685097.480070,0.707106853,0.000000000
1714685097.580102,0.707106817,0.000000000
1714685097.680161,0.707106813,0.000000000
1714685097.780179,0.707106831,0.000000000
1714685097.880075,0.707106824,0.000000000
1714685099.239649,0.707106801,0.000000000
1714685099.280317,0.707106783,0.000000000
1714685099.380186,0.707106783,0.000000000
1714685099.480667,0.707106784,0.000000000
1714685099.580636,0.707106783,0.000000000
1714685099.680002,0.707106782,0.000000000
1714685099.780270,0.707106782,0.000000000
1714685099.880056,0.707106782,0.000000000
1714685099.980169,0.707106782,0.000000000
1714685100.080030,0.707106782,0.000000000
1714685100.180019,0.707106781,0.000000000
1714685100.280232,0.707106781,0.000000000
1714685100.380063,0.707106781,0.000000000
1714685100.480020,0.707106781,0.000000000
1714685100.580117,0.707097495,0.000000000
1714685100.680112,0.706996879,0.000000000
1714685100.780221,0.706695956,0.000000000
1714685100.880092,0.706052163,0.000000000
1714685100.980500,0.705018485,0.000000000
1714685101.080091,0.703439864,0.000000000
1714685101.180125,0.701176079,0.000000000
1714685101.280058,0.698313784,0.000000000
1714685101.380265,0.694940672,0.000000000
1714685101.480574,0.691206347,0.000000000
1714685101.580176,0.687053932,0.000000000
1714685101.680206,0.682556509,0.000000000
1714685101.780164,0.676741912,0.000000000
1714685101.880325,0.671189898,0.000000000
1714685101.980549,0.664572097,0.000000000
1714685102.080181,0.657797434,0.000000000
1714685102.180186,0.650741561,0.000000000
1714685102.281045,0.642625560,0.000000000
1714685102.380134,0.634579468,0.000000000
1714685102.480135,0.626037328,0.000000000
1714685102.580163,0.617307082,0.000000000
1714685102.680464,0.608535239,0.000000000
1714685102.780140,0.600184338,0.000000000
1714685102.880041,0.590942817,0.000000000
1714685102.980062,0.581338024,0.000000000
1714685103.080245,0.571718728,0.000000000
1714685103.180063,0.561897126,0.000000000
1714685103.280158,0.552228960,0.000000000
1714685103.380648,0.541963859,0.000000000
1714685103.480707,0.531576570,0.000000000
1714685103.580420,0.521192784,0.000000000
1714685103.680060,0.511167756,0.000000000
1714685103.780086,0.500433327,0.000000000
1714685103.880404,0.489877664,0.000000000
1714685103.980193,0.478898706,0.000000000
1714685104.080134,0.467942773,0.000000000
1714685104.180054,0.457161059,0.000000000
1714685104.280071,0.446688773,0.000000000
1714685104.380080,0.436230009,0.000000000
1714685104.480076,0.426542887,0.000000000
1714685104.580363,0.417123998,0.000000000
1714685104.680081,0.407930665,0.000000000
1714685104.780088,0.399073948,0.000000000
1714685104.880081,0.390817286,0.000000000
1714685104.980042,0.382901264,0.000000000
1714685105.080072,0.375471765,0.000000000
1714685105.181400,0.368669176,0.000000000
1714685105.280197,0.362537680,0.000000000
1714685105.380165,0.356681460,0.000000000
1714685105.480297,0.351211210,0.000000000
1714685105.580121,0.346037706,0.000000000
1714685105.680118,0.341128283,0.000000000
1714685105.780075,0.336941135,0.000000000
1714685105.880066,0.333185515,0.000000000
1714685105.980101,0.329567140,0.000000000
1714685106.080148,0.326538921,0.000000000
1714685106.180904,0.323855001,0.000000000
1714685106.280108,0.321861131,0.000000000
1714685106.380130,0.320109721,0.000000000
1714685106.480087,0.318924995,0.000000000
1714685106.580642,0.318219767,0.000000000
1714685106.680154,0.317816800,0.000000000
1714685106.780252,0.317743830,0.000000000
1714685106.880430,0.318053597,0.000000000
1714685106.980078,0.318811753,0.000000000
1714685107.080088,0.319803433,0.000000000
1714685107.180130,0.321246213,0.000000000
1714685107.280358,0.322832778,0.000000000
1714685107.380443,0.324631522,0.000000000
1714685107.480036,0.326758946,0.000000000
1714685107.580075,0.329096209,0.000000000
1714685107.680106,0.331394786,0.000000000
1714685107.780109,0.333817074,0.000000000
1714685107.880049,0.336405466,0.000000000
1714685107.980711,0.338950682,0.000000000
1714685108.080117,0.341420295,0.000000000
1714685108.180389,0.343926544,0.000000000
1714685108.280091,0.346357889,0.000000000
1714685108.380123,0.348655847,0.000000000
1714685108.480252,0.350660905,0.000000000
1714685108.580151,0.352469679,0.000000000
1714685108.680177,0.354120145,0.000000000
1714685108.780055,0.355514290,0.000000000
1714685108.880049,0.356617851,0.000000000
1714685108.980302,0.357315308,0.000000000
1714685109.080149,0.357727825,0.000000000
1714685109.180918,0.357838635,0.000000000
1714685109.280378,0.357680963,0.000000000
1714685109.380034,0.357170114,0.000000000
1714685109.480685,0.356441711,0.000000000
1714685109.580089,0.355411896,0.000000000
1714685109.680155,0.354036505,0.000000000
1714685109.780117,0.352596516,0.000000000
1714685109.880463,0.350972359,0.000000000
1714685109.981153,0.349330330,0.000000000
1714685110.080243,0.347674049,0.000000000
1714685110.180057,0.345906880,0.000000000
1714685110.280083,0.344066395,0.000000000
1714685110.380135,0.342482006,0.000000000
1714685110.480129,0.340645511,0.000000000
1714685110.580097,0.339062714,0.000000000
1714685110.680175,0.337228809,0.000000000
1714685110.780481,0.335616092,0.000000000
1714685110.880296,0.333931402,0.000000000
1714685110.980127,0.332445263,0.000000000
1714685111.080150,0.331253596,0.000000000
1714685111.180255,0.330343431,0.000000000
1714685111.280443,0.329571947,0.000000000
1714685111.380042,0.329067621,0.000000000
1714685111.480180,0.328804498,0.000000000
1714685111.580101,0.328848484,0.000000000
1714685111.680099,0.329122074,0.000000000
1714685111.780031,0.329592440,0.000000000
1714685111.880064,0.330383271,0.000000000
1714685111.980131,0.331250299,0.000000000
1714685112.080137,0.332425626,0.000000000
1714685112.180273,0.333646066,0.000000000
1714685112.280168,0.335091893,0.000000000
1714685112.380262,0.336662879,0.000000000
1714685112.480136,0.338264272,0.000000000
1714685112.580815,0.339842221,0.000000000
1714685112.680066,0.341594768,0.000000000
1714685112.780117,0.343181657,0.000000000
1714685112.880111,0.344685191,0.000000000
1714685112.980151,0.346140337,0.000000000
1714685113.080271,0.347605590,0.000000000
1714685113.180424,0.349069031,0.000000000
1714685113.280113,0.350449014,0.000000000
1714685113.380099,0.351660434,0.000000000
1714685113.480067,0.352711342,0.000000000
1714685113.580072,0.353579457,0.000000000
1714685113.680103,0.354324161,0.000000000
1714685113.780097,0.354909409,0.000000000
1714685113.880111,0.355264694,0.000000000
1714685113.980094,0.355525546,0.000000000
1714685114.080287,0.355506527,0.000000000
1714685114.180227,0.355272542,0.000000000
1714685114.280134,0.354991130,0.000000000
1714685114.380504,0.354476027,0.000000000
1714685114.480266,0.353809068,0.000000000
1714685114.580131,0.352973333,0.000000000
1714685114.680423,0.352018435,0.000000000
1714685114.780424,0.351001873,0.000000000
1714685114.880199,0.350000640,0.000000000
1714685114.980476,0.348861638,0.000000000
1714685115.080250,0.347694343,0.000000000
1714685115.180202,0.346499822,0.000000000
1714685115.280228,0.345129528,0.000000000
1714685115.380181,0.343715865,0.000000000
1714685115.480191,0.342494455,0.000000000
1714685115.580146,0.341241079,0.000000000
1714685115.680441,0.340223712,0.000000000
1714685115.780057,0.339151951,0.000000000
1714685115.880450,0.338240494,0.000000000
1714685115.980035,0.337466792,0.000000000
1714685116.080601,0.336828169,0.000000000
1714685116.180115,0.336340131,0.000000000
1714685116.280353,0.336045712,0.000000000
1714685116.380126,0.335905012,0.000000000
1714685116.480117,0.335935434,0.000000000
1714685116.580270,0.336191415,0.000000000
1714685116.680200,0.336514931,0.000000000
1714685116.780525,0.336964097,0.000000000
1714685116.880275,0.337578327,0.000000000
1714685116.980520,0.338288892,0.000000000
1714685117.080161,0.339134764,0.000000000
1714685117.180387,0.340153562,0.000000000
1714685117.280125,0.341371222,0.000000000
1714685117.380101,0.342731632,0.000000000
1714685117.480061,0.344159409,0.000000000
1714685117.580028,0.345648870,0.000000000
1714685117.680113,0.347191893,0.000000000
1714685117.780290,0.348753432,0.000000000
1714685117.880055,0.350180499,0.000000000
1714685117.980125,0.351522923,0.000000000
1714685118.080152,0.352729818,0.000000000
1714685118.180061,0.353845647,0.000000000
1714685118.280103,0.354803052,0.000000000
1714685118.380119,0.355619586,0.000000000
1714685118.480195,0.356372553,0.000000000
1714685118.580131,0.357036145,0.000000000
1714685118.680084,0.357398522,0.000000000
1714685118.780026,0.357594840,0.000000000
1714685118.880068,0.357642625,0.000000000
1714685118.980438,0.357449032,0.000000000
1714685119.080281,0.357269471,0.000000000
1714685119.180116,0.356832446,0.000000000
1714685119.280181,0.356240336,0.000000000
1714685119.380251,0.355495043,0.000000000
1714685119.480094,0.354683025,0.000000000
1714685119.580436,0.353619142,0.000000000
1714685119.680126,0.352552058,0.000000000
1714685119.780493,0.351330483,0.000000000
1714685119.880145,0.350142596,0.000000000
1714685119.980286,0.348946373,0.000000000
1714685120.080505,0.347720833,0.000000000
1714685120.180120,0.346448269,0.000000000
1714685120.280240,0.345238085,0.000000000
1714685120.380230,0.344204065,0.000000000
1714685120.480147,0.343198006,0.000000000
1714685120.580092,0.342283568,0.000000000
1714685120.680091,0.341456135,0.000000000
1714685120.780145,0.340635075,0.000000000
1714685120.880200,0.339907724,0.000000000
1714685120.981290,0.339511537,0.000000000
1714685121.080603,0.339255622,0.000000000
1714685121.181193,0.338929463,0.000000000
1714685121.280126,0.338721964,0.000000000
1714685121.380400,0.338716223,0.000000000
1714685121.480075,0.338792044,0.000000000
1714685121.580173,0.339080132,0.000000000
1714685121.680099,0.339490033,0.000000000
1714685121.780504,0.340029041,0.000000000
1714685121.880338,0.340724680,0.000000000
1714685121.980066,0.341520029,0.000000000
1714685122.080064,0.342465437,0.000000000
1714685122.180239,0.343427655,0.000000000
1714685122.280089,0.344664890,0.000000000
1714685122.380145,0.345834600,0.000000000
1714685122.480059,0.347207775,0.000000000
1714685122.580079,0.348335638,0.000000000
1714685122.680266,0.349653180,0.000000000
1714685122.780135,0.350782042,0.000000000
1714685122.880080,0.351911381,0.000000000
1714685122.980076,0.352999896,0.000000000
1714685123.080124,0.354024107,0.000000000
1714685123.180104,0.354954409,0.000000000
1714685123.280083,0.355737141,0.000000000
1714685123.380108,0.356483500,0.000000000
1714685123.480162,0.357026402,0.000000000
1714685123.580154,0.357439449,0.000000000
1714685123.680104,0.357646988,0.000000000
1714685123.780923,0.357635905,0.000000000
1714685123.880197,0.357559399,0.000000000
1714685123.980117,0.357302308,0.000000000
1714685124.080095,0.356916218,0.000000000
1714685124.180162,0.356408356,0.000000000
1714685124.280103,0.355775135,0.000000000
1714685124.380669,0.354972189,0.000000000
1714685124.480149,0.354233411,0.000000000
1714685124.580266,0.353491697,0.000000000
1714685124.680259,0.352433561,0.000000000
1714685124.780159,0.351547409,0.000000000
1714685124.880428,0.350381201,0.000000000
1714685124.980201,0.349505686,0.000000000
1714685125.080086,0.348682945,0.000000000
1714685125.180105,0.347699465,0.000000000
1714685125.280061,0.346766365,0.000000000
1714685125.380516,0.345783680,0.000000000
1714685125.480079,0.344943479,0.000000000
1714685125.580159,0.344075932,0.000000000
1714685125.680140,0.343378413,0.000000000
1714685125.780246,0.342619142,0.000000000
1714685125.880248,0.342102105,0.000000000
1714685125.980030,0.341623275,0.000000000
1714685126.080053,0.341193565,0.000000000
1714685126.180141,0.340968928,0.000000000
1714685126.280108,0.340878224,0.000000000
1714685126.380119,0.340892000,0.000000000
1714685126.480106,0.341020742,0.000000000
1714685126.580191,0.341291386,0.000000000
1714685126.680087,0.341679517,0.000000000
1714685126.780094,0.342220196,0.000000000
1714685126.880039,0.342968363,0.000000000
1714685126.980268,0.343686138,0.000000000
1714685127.080100,0.344673046,0.000000000
1714685127.180151,0.345622393,0.000000000
1714685127.280166,0.346665031,0.000000000
1714685127.381048,0.347732944,0.000000000
1714685127.480283,0.348864492,0.000000000
1714685127.580103,0.350068745,0.000000000
1714685127.680309,0.351122389,0.000000000
1714685127.780121,0.352081041,0.000000000
1714685127.880177,0.353034653,0.000000000
1714685127.980388,0.353965247,0.000000000
1714685128.080154,0.354806928,0.000000000
1714685128.180509,0.355612706,0.000000000
1714685128.280261,0.356432209,0.000000000
1714685128.380153,0.357112574,0.000000000
1714685128.480174,0.357614242,0.000000000
1714685128.580171,0.358025024,0.000000000
1714685128.680644,0.358315785,0.000000000
1714685128.780723,0.358411440,0.000000000
1714685128.880308,0.358425142,0.000000000
1714685128.980132,0.358307720,0.000000000
1714685129.080110,0.358032743,0.000000000
1714685129.180480,0.357658283,0.000000000
1714685129.280094,0.357207036,0.000000000
1714685129.380077,0.356628660,0.000000000
1714685129.480130,0.356005787,0.000000000
1714685129.580189,0.355155274,0.000000000
1714685129.680180,0.354241364,0.000000000
1714685129.780452,0.353207082,0.000000000
1714685129.880194,0.352229229,0.000000000
1714685129.980097,0.351253427,0.000000000
1714685130.080152,0.350236868,0.000000000
1714685130.180317,0.349276915,0.000000000
1714685130.280340,0.348343242,0.000000000
1714685130.380144,0.347391033,0.000000000
1714685130.480154,0.346557277,0.000000000
1714685130.580144,0.345695115,0.000000000
1714685130.680637,0.344907410,0.000000000
1714685130.780097,0.344285726,0.000000000
1714685130.880205,0.343730897,0.000000000
1714685130.980305,0.343373947,0.000000000
1714685131.080171,0.343013539,0.000000000
1714685131.180206,0.342806865,0.000000000
1714685131.281012,0.342718444,0.000000000
1714685131.380107,0.342780310,0.000000000
1714685131.480434,0.342964003,0.000000000
1714685131.580468,0.343240560,0.000000000
1714685131.680332,0.343717420,0.000000000
1714685131.780209,0.344237932,0.000000000
1714685131.880057,0.344940530,0.000000000
1714685131.980115,0.345659131,0.000000000
1714685132.080385,0.346380141,0.000000000
1714685132.180880,0.347167049,0.000000000
1714685132.280076,0.348040895,0.000000000
1714685132.380161,0.348904264,0.000000000
1714685132.480109,0.349704116,0.000000000
1714685132.580210,0.350549987,0.000000000
1714685132.680141,0.351391417,0.000000000
1714685132.780370,0.352259566,0.000000000
1714685132.880198,0.353008380,0.000000000
1714685132.980188,0.353808231,0.000000000
1714685133.080136,0.354498747,0.000000000
1714685133.180359,0.355169867,0.000000000
1714685133.280269,0.355574277,0.000000000
1714685133.381267,0.356024307,0.000000000
1714685133.480190,0.356453577,0.000000000
1714685133.580142,0.356681255,0.000000000
1714685133.680150,0.356979571,0.000000000
1714685133.780239,0.357004194,0.000000000
1714685133.880546,0.357145445,0.000000000
1714685133.980521,0.357084288,0.000000000
1714685134.080080,0.356880008,0.000000000
1714685134.180145,0.356666922,0.000000000
1714685134.280190,0.356303174,0.000000000
1714685134.380191,0.355815494,0.000000000
1714685134.480475,0.355365674,0.000000000
1714685134.580040,0.354750463,0.000000000
1714685134.680262,0.354067053,0.000000000
1714685134.780421,0.353315611,0.000000000
1714685134.880238,0.352538997,0.000000000
1714685134.980058,0.351824887,0.000000000
1714685135.080806,0.351013018,0.000000000
1714685135.180549,0.350211149,0.000000000
1714685135.280169,0.349448298,0.000000000
1714685135.380210,0.348758836,0.000000000
1714685135.480119,0.348088418,0.000000000
1714685135.580141,0.347476831,0.000000000
1714685135.680210,0.346943008,0.000000000
1714685135.780436,0.346477258,0.000000000
1714685135.880086,0.346103065,0.000000000
1714685135.980099,0.345836088,0.000000000
1714685136.080822,0.345632334,0.000000000
1714685136.180089,0.345536539,0.000000000
1714685136.280155,0.345528040,0.000000000
1714685136.380266,0.345577478,0.000000000
1714685136.480723,0.345715974,0.000000000
1714685136.580096,0.345942203,0.000000000
1714685136.680607,0.346252859,0.000000000
1714685136.780823,0.346604917,0.000000000
1714685136.880066,0.347041026,0.000000000
1714685136.980105,0.347545000,0.000000000
1714685137.080122,0.348119383,0.000000000
1714685137.180148,0.348743862,0.000000000
1714685137.280062,0.349375942,0.000000000
1714685137.380075,0.349995237,0.000000000
1714685137.480507,0.350631295,0.000000000
1714685137.580114,0.351350925,0.000000000
1714685137.680767,0.352009999,0.000000000
1714685137.780162,0.352687367,0.000000000
1714685137.880507,0.353326326,0.000000000
